alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Top_Itr,Bot_Itr
20.800,0.5761,0.23315,0.22475,-0.0325,0.1197,1.0000,55.9971,160.0000
20.900,0.5726,0.23235,0.22603,-0.0333,0.1194,1.0000,56.0138,160.0000
21.000,0.5687,0.23127,0.22732,-0.0341,0.1191,1.0000,56.0351,160.0000
21.100,0.5658,0.23060,0.22878,-0.0349,0.1187,1.0000,56.0685,160.0000
21.200,0.5640,0.23039,0.23038,-0.0357,0.1180,1.0000,56.1226,160.0000
21.300,0.5634,0.23066,0.23205,-0.0364,0.1169,1.0000,56.2021,160.0000
21.400,0.5637,0.23128,0.23375,-0.0370,0.1156,1.0000,56.2981,160.0000
21.500,0.5647,0.23211,0.23544,-0.0375,0.1142,1.0000,56.3995,160.0000
21.600,0.5661,0.23305,0.23711,-0.0379,0.1128,1.0000,56.5012,160.0000
21.700,0.5678,0.23408,0.23877,-0.0383,0.1115,1.0000,56.6011,160.0000
21.800,0.5700,0.23522,0.24041,-0.0387,0.1102,1.0000,56.6977,160.0000
21.900,0.5727,0.23655,0.24204,-0.0389,0.1089,1.0000,56.7896,160.0000
22.000,0.5765,0.23836,0.24368,-0.0390,0.1078,1.0000,56.8752,160.0000
22.100,0.5830,0.24156,0.24551,-0.0389,0.1067,1.0000,56.9520,160.0000
22.200,0.5921,0.24681,0.24792,-0.0388,0.1060,1.0000,57.0038,160.0000
22.300,0.5883,0.24558,0.24927,-0.0397,0.1058,1.0000,57.0196,160.0000
22.400,0.5855,0.24478,0.25079,-0.0405,0.1055,1.0000,57.0428,160.0000
22.500,0.5836,0.24440,0.25245,-0.0413,0.1051,1.0000,57.0776,160.0000
22.600,0.5827,0.24452,0.25421,-0.0421,0.1044,1.0000,57.1292,160.0000
22.700,0.5827,0.24499,0.25602,-0.0427,0.1035,1.0000,57.1985,160.0000
22.800,0.5833,0.24571,0.25782,-0.0433,0.1025,1.0000,57.2788,160.0000
22.900,0.5843,0.24659,0.25960,-0.0438,0.1014,1.0000,57.3625,160.0000
23.000,0.5855,0.24755,0.26138,-0.0443,0.1004,1.0000,57.4459,160.0000
23.100,0.5869,0.24853,0.26313,-0.0448,0.0993,1.0000,57.5273,160.0000
23.200,0.5886,0.24964,0.26488,-0.0452,0.0983,1.0000,57.6063,160.0000
23.300,0.5904,0.25076,0.26660,-0.0456,0.0973,1.0000,57.6821,160.0000
23.400,0.5925,0.25198,0.26831,-0.0460,0.0964,1.0000,57.7549,160.0000
23.500,0.5950,0.25338,0.27000,-0.0463,0.0955,1.0000,57.8253,160.0000
23.600,0.5982,0.25518,0.27169,-0.0465,0.0946,1.0000,57.8922,160.0000
23.700,0.6033,0.25807,0.27350,-0.0465,0.0938,1.0000,57.9536,160.0000
23.900,0.6089,0.26241,0.27737,-0.0471,0.0931,1.0000,58.0159,160.0000
24.000,0.6065,0.26171,0.27903,-0.0480,0.0928,1.0000,58.0363,160.0000
24.100,0.6050,0.26138,0.28082,-0.0488,0.0925,1.0000,58.0674,160.0000
24.200,0.6042,0.26149,0.28271,-0.0496,0.0919,1.0000,58.1150,160.0000
24.300,0.6042,0.26195,0.28463,-0.0503,0.0911,1.0000,58.1826,160.0000
24.400,0.6048,0.26270,0.28654,-0.0509,0.0901,1.0000,58.2638,160.0000
24.500,0.6058,0.26361,0.28841,-0.0515,0.0891,1.0000,58.3495,160.0000
24.600,0.6070,0.26460,0.29026,-0.0520,0.0881,1.0000,58.4342,160.0000
24.700,0.6083,0.26560,0.29209,-0.0525,0.0871,1.0000,58.5153,160.0000
24.800,0.6098,0.26668,0.29390,-0.0529,0.0862,1.0000,58.5916,160.0000
24.900,0.6114,0.26784,0.29569,-0.0534,0.0854,1.0000,58.6626,160.0000
25.000,0.6132,0.26901,0.29747,-0.0538,0.0846,1.0000,58.7297,160.0000
25.100,0.6151,0.27028,0.29922,-0.0541,0.0838,1.0000,58.7935,160.0000
25.200,0.6174,0.27173,0.30095,-0.0545,0.0831,1.0000,58.8536,160.0000
25.300,0.6202,0.27353,0.30268,-0.0547,0.0824,1.0000,58.9089,160.0000
25.400,0.6242,0.27616,0.30447,-0.0548,0.0818,1.0000,58.9580,160.0000
25.500,0.6314,0.28113,0.30668,-0.0547,0.0814,1.0000,58.9986,160.0000
25.600,0.6298,0.28078,0.30842,-0.0554,0.0812,1.0000,59.0107,160.0000
25.700,0.6283,0.28044,0.31023,-0.0562,0.0811,1.0000,59.0253,160.0000
25.800,0.6273,0.28035,0.31213,-0.0570,0.0808,1.0000,59.0452,160.0000
25.900,0.6268,0.28051,0.31410,-0.0578,0.0805,1.0000,59.0736,160.0000
26.000,0.6267,0.28093,0.31612,-0.0585,0.0801,1.0000,59.1143,160.0000
26.100,0.6271,0.28158,0.31815,-0.0592,0.0795,1.0000,59.1697,160.0000
26.200,0.6277,0.28241,0.32015,-0.0598,0.0788,1.0000,59.2375,160.0000
26.300,0.6287,0.28335,0.32211,-0.0604,0.0779,1.0000,59.3127,160.0000
26.400,0.6297,0.28436,0.32405,-0.0609,0.0771,1.0000,59.3909,160.0000
26.500,0.6309,0.28542,0.32596,-0.0614,0.0762,1.0000,59.4696,160.0000
26.600,0.6322,0.28650,0.32785,-0.0619,0.0754,1.0000,59.5472,160.0000
26.700,0.6336,0.28761,0.32971,-0.0624,0.0746,1.0000,59.6225,160.0000
26.800,0.6350,0.28876,0.33154,-0.0628,0.0738,1.0000,59.6949,160.0000
26.900,0.6366,0.28998,0.33334,-0.0632,0.0730,1.0000,59.7633,160.0000
27.000,0.6384,0.29130,0.33511,-0.0636,0.0723,1.0000,59.8271,160.0000
27.100,0.6406,0.29284,0.33684,-0.0639,0.0717,1.0000,59.8854,160.0000
27.200,0.6432,0.29483,0.33857,-0.0642,0.0712,1.0000,59.9367,160.0000
27.300,0.6472,0.29787,0.34039,-0.0642,0.0707,1.0000,59.9791,160.0000
27.500,0.6493,0.30052,0.34434,-0.0653,0.0703,1.0000,60.0156,160.0000
27.600,0.6486,0.30056,0.34634,-0.0660,0.0702,1.0000,60.0309,160.0000
27.700,0.6482,0.30082,0.34840,-0.0668,0.0700,1.0000,60.0512,160.0000
27.800,0.6482,0.30126,0.35049,-0.0675,0.0697,1.0000,60.0786,160.0000
27.900,0.6485,0.30193,0.35260,-0.0682,0.0694,1.0000,60.1151,160.0000
28.000,0.6490,0.30274,0.35470,-0.0688,0.0689,1.0000,60.1616,160.0000
28.100,0.6497,0.30366,0.35677,-0.0695,0.0684,1.0000,60.2166,160.0000
28.200,0.6506,0.30466,0.35882,-0.0700,0.0678,1.0000,60.2769,160.0000
28.300,0.6515,0.30566,0.36082,-0.0706,0.0672,1.0000,60.3398,160.0000
28.400,0.6525,0.30675,0.36282,-0.0711,0.0665,1.0000,60.4043,160.0000
28.500,0.6536,0.30785,0.36479,-0.0716,0.0659,1.0000,60.4697,160.0000
28.600,0.6547,0.30896,0.36674,-0.0722,0.0653,1.0000,60.5354,160.0000
28.700,0.6558,0.31008,0.36866,-0.0727,0.0646,1.0000,60.6007,160.0000
28.800,0.6571,0.31126,0.37058,-0.0731,0.0640,1.0000,60.6651,160.0000
28.900,0.6583,0.31243,0.37245,-0.0736,0.0634,1.0000,60.7281,160.0000
29.000,0.6597,0.31366,0.37429,-0.0740,0.0628,1.0000,60.7891,160.0000
29.100,0.6612,0.31498,0.37608,-0.0744,0.0622,1.0000,60.8474,160.0000
29.200,0.6629,0.31651,0.37782,-0.0748,0.0617,1.0000,60.9016,160.0000
29.300,0.6652,0.31850,0.37953,-0.0750,0.0612,1.0000,60.9498,160.0000
29.400,0.6687,0.32160,0.38130,-0.0751,0.0609,1.0000,60.9894,160.0000
29.600,0.6689,0.32301,0.38543,-0.0764,0.0606,1.0000,61.0225,160.0000
29.700,0.6686,0.32334,0.38759,-0.0772,0.0604,1.0000,61.0414,160.0000
29.800,0.6686,0.32385,0.38977,-0.0779,0.0602,1.0000,61.0659,160.0000
29.900,0.6689,0.32460,0.39196,-0.0786,0.0599,1.0000,61.0973,160.0000
30.000,0.6694,0.32546,0.39413,-0.0792,0.0596,1.0000,61.1360,160.0000
30.100,0.6700,0.32641,0.39626,-0.0798,0.0592,1.0000,61.1826,160.0000
30.200,0.6707,0.32743,0.39837,-0.0804,0.0587,1.0000,61.2352,160.0000
30.300,0.6715,0.32850,0.40045,-0.0810,0.0582,1.0000,61.2917,160.0000
30.400,0.6724,0.32955,0.40249,-0.0815,0.0577,1.0000,61.3500,160.0000
30.500,0.6733,0.33067,0.40453,-0.0821,0.0572,1.0000,61.4087,160.0000
30.600,0.6742,0.33181,0.40654,-0.0826,0.0567,1.0000,61.4670,160.0000
30.700,0.6751,0.33294,0.40854,-0.0831,0.0563,1.0000,61.5246,160.0000
30.800,0.6760,0.33407,0.41052,-0.0837,0.0558,1.0000,61.5811,160.0000
30.900,0.6770,0.33521,0.41248,-0.0842,0.0553,1.0000,61.6363,160.0000
31.000,0.6779,0.33632,0.41441,-0.0847,0.0548,1.0000,61.6903,160.0000
31.100,0.6790,0.33754,0.41633,-0.0851,0.0544,1.0000,61.7435,160.0000
31.200,0.6800,0.33874,0.41821,-0.0856,0.0539,1.0000,61.7958,160.0000
31.300,0.6811,0.34000,0.42005,-0.0861,0.0535,1.0000,61.8466,160.0000
31.400,0.6824,0.34138,0.42184,-0.0865,0.0531,1.0000,61.8948,160.0000
31.500,0.6839,0.34301,0.42356,-0.0868,0.0527,1.0000,61.9391,160.0000
